Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,index,Run,Minutes
Best Of: Good GOD! | 30 Rock,30 Rock Official,09:16,748,13,57360,36,2021-05-18T16:30:08Z,0,0.9829172141918529,9,1,9.267
30 Rock: The Best of Liz Lemon,Kim,09:47,5651,171,1132725,697,2008-08-15T14:08:26Z,1,0.9706286499484713,13,1,9.783
The Best Of Subhas Ramsaywack | 30 Rock,30 Rock Official,10:07,136,3,7491,23,2021-07-26T15:00:16Z,0,0.9784172661870504,10,2,10.117
Every Appearance Of Conan (Best Of Conan O’Brien) - 30 Rock,30 Rock Official,05:38,16061,446,1755708,852,2018-05-04T16:00:03Z,1,0.9729811595080875,15,2,5.633
All the Oscar Winners and Nominees - 30 Rock,30 Rock Official,05:43,1713,47,155293,118,2020-02-06T14:00:08Z,2,0.9732954545454545,22,2,5.717
The Best of Tracy Jordan and Denise Richards - 30 Rock,30 Rock Official,03:24,961,18,84313,118,2019-12-12T14:00:05Z,3,0.9816138917262512,34,2,3.4
Jack Donaghy's Porn for Women - 30 Rock,30 Rock Official,03:21,1449,34,159515,64,2020-02-08T14:00:12Z,4,0.9770734996628456,45,2,3.35
Best Of Jack Donaghy VS Kaylie Hooper (ft. Chloe Grace Moretz) | 30 Rock,30 Rock Official,10:00,1230,30,111344,119,2021-06-02T16:30:02Z,5,0.9761904761904762,60,2,10.0
Jack vs Banks - 30 Rock,30 Rock Official,10:01,6404,188,1029495,450,2017-11-24T17:30:00Z,6,0.9714805825242718,63,2,10.017
The Negotiation - 30 Rock,30 Rock Official,04:28,7500,114,719024,349,2020-04-02T16:00:31Z,7,0.9850275807722616,80,2,4.467
Negotiating with Jack Donaghy,Michael H,05:01,4750,125,812312,333,2012-03-20T09:53:27Z,8,0.9743589743589743,84,2,5.017
30 Rock - Doctor's Diagnosis (Episode Highlight),30 Rock Official,01:53,638,6,72020,22,2017-10-19T06:58:41Z,0,0.9906832298136646,5,3,1.883
Flu Shot Rationing - 30 Rock,30 Rock Official,02:54,414,5,32205,29,2020-01-11T14:00:06Z,1,0.9880668257756563,15,3,2.9
"''If Women Are So Funny, Do Something Funny Right Now.'' | 30 Rock",30 Rock Official,04:21,653,18,55197,100,2021-02-04T16:00:10Z,2,0.9731743666169895,29,3,4.35
Every D'fwan Moment - 30 Rock,30 Rock Official,08:55,10289,216,918992,683,2018-01-05T17:30:01Z,3,0.979438362684436,37,3,8.917
Kenneth Takes the Midnight Train to Georgia - 30 Rock,30 Rock Official,03:19,2470,31,165706,162,2020-04-23T21:35:10Z,4,0.9876049580167933,44,3,3.317
Seeing The World Through Kenneth and Tracy's Eyes - 30 Rock,30 Rock Official,01:57,3058,23,236290,126,2019-01-06T17:00:07Z,5,0.9925348912690685,61,3,1.95
Behind the scenes with the muppets on 30 Rock,joycewebster8,03:11,697,10,144889,43,2009-10-04T09:35:31Z,6,0.9858557284299858,65,3,3.183
All the Oscar Winners and Nominees - 30 Rock,30 Rock Official,05:43,1713,47,155293,118,2020-02-06T14:00:08Z,0,0.9732954545454545,10,4,5.717
Anna Howard Shaw Day At 30 Rock - 30 Rock,30 Rock Official,10:01,2050,70,298566,101,2018-02-14T00:00:01Z,1,0.9669811320754716,18,4,10.017
Every Appearance Of Conan (Best Of Conan O’Brien) - 30 Rock,30 Rock Official,05:38,16061,446,1755712,852,2018-05-04T16:00:03Z,2,0.9729811595080875,25,4,5.633
Conan Forces Jordan Schlansky To Clean His Filthy Office | CONAN on TBS,Team Coco,07:48,193023,2960,21101613,10327,2014-01-10T10:17:20Z,3,0.9848966491991652,41,4,7.8
Every Appearance Of Conan (Best Of Conan O’Brien) - 30 Rock,30 Rock Official,05:38,16061,446,1755712,852,2018-05-04T16:00:03Z,0,0.9729811595080875,3,5,5.633
Donaghy Can't Read Kenneth At Poker - 30 Rock,30 Rock Official,04:13,9284,211,1077390,375,2019-10-31T16:45:00Z,1,0.9777777777777777,11,5,4.217
Jack vs Banks - 30 Rock,30 Rock Official,10:01,6404,188,1029495,450,2017-11-24T17:30:00Z,2,0.9714805825242718,22,5,10.017
Kenneth is IMMORTAL | Kenneth's Immortality on '30 Rock' | 30 Rock,30 Rock Official,09:10,5280,78,333100,293,2020-10-19T16:00:30Z,3,0.9854423292273237,33,5,9.167
Jack Admits to Kenneth He Wasn't A Good President | Kenneth's Closing Song | 30 Rock,30 Rock Official,05:14,581,7,43988,45,2020-12-13T20:20:02Z,4,0.9880952380952381,46,5,5.233
Frank's Iconic Hats Slogans | 30 Rock,30 Rock Official,10:07,202,4,20337,18,2020-11-20T16:51:24Z,5,0.9805825242718447,52,5,10.117
Kenneth's Complicated Secret Santa Game | Introducing ''Verdukianism'' Religion | 30 Rock,30 Rock Official,04:39,476,11,33758,35,2020-12-17T15:00:03Z,6,0.9774127310061602,63,5,4.65
Jack Admits to Kenneth He Wasn't A Good President | Kenneth's Closing Song | 30 Rock,30 Rock Official,05:14,581,7,43988,45,2020-12-13T20:20:02Z,7,0.9880952380952381,75,5,5.233
Jack And Keneth Try To Erase An Embarrassing Drunk Phone Message After New Year's Eve | 30 Rock,30 Rock Official,05:47,704,8,51980,56,2020-12-30T15:00:10Z,8,0.9887640449438202,89,5,5.783
Anna Howard Shaw Day At 30 Rock - 30 Rock,30 Rock Official,10:01,2050,70,298566,101,2018-02-14T00:00:01Z,9,0.9669811320754716,94,5,10.017
30 Rock - Best of Season 4,wwydotu,07:59,1520,70,327849,104,2011-01-29T06:15:15Z,10,0.9559748427672956,102,5,7.983
Donaghy Can't Read Kenneth At Poker - 30 Rock,30 Rock Official,04:13,9284,211,1077390,375,2019-10-31T16:45:00Z,0,0.9777777777777777,10,6,4.217
Jack Plays Colonizers of Malaar - 30 Rock,30 Rock Official,03:09,3548,76,407704,183,2019-10-15T13:00:10Z,1,0.9790286975717439,16,6,3.15
Donaghy's Stress Eating - 30 Rock,30 Rock Official,03:50,2620,56,320412,126,2019-11-16T20:30:00Z,2,0.9790732436472347,23,6,3.833
Donaghy Can't Read Kenneth At Poker - 30 Rock,30 Rock Official,04:13,9284,211,1077390,375,2019-10-31T16:45:00Z,3,0.9777777777777777,34,6,4.217
Liz Lemon's Greatest Love Isn't A Man: IT'S FOOD! | Liz LOVES Food Above Everything Else | 30 Rock,30 Rock Official,08:56,1725,33,131644,140,2020-11-14T15:00:07Z,4,0.9812286689419796,43,6,8.933
Salma Hayek as The Black Widow - 30 Rock,30 Rock Official,05:55,3172,101,418529,232,2019-11-12T14:00:01Z,5,0.9691414604338527,60,6,5.917
30 Rock - Doctor's Diagnosis (Episode Highlight),30 Rock Official,01:53,638,6,72020,22,2017-10-19T06:58:41Z,6,0.9906832298136646,66,6,1.883
30 Rock: The Best of Liz Lemon,Kim,09:47,5651,171,1132725,697,2008-08-15T14:08:26Z,7,0.9706286499484713,83,6,9.783
Liz Lemon's Boyfriends - 30 Rock,30 Rock Official,10:03,6648,185,1031527,464,2017-12-29T17:00:05Z,0,0.9729255085613933,2,7,10.05
Liz Exposes Abby - 30 Rock,30 Rock Official,02:38,10805,292,1502943,761,2018-01-03T17:00:08Z,1,0.9736865819590881,19,7,2.633
Liz Lemon Was A BULLY! | Liz Lemon Was A MEAN Girl In High School | 30 Rock,30 Rock Official,05:17,5917,95,542076,533,2020-11-26T14:00:05Z,2,0.9841982701264138,23,7,5.283
Jack Dates Crazy Claire - 30 Rock,30 Rock Official,03:24,3287,64,577451,258,2019-09-14T13:00:04Z,3,0.9809012235153686,36,7,3.4
Liz Lemon Dates Her Cousin - 30 Rock,30 Rock Official,02:45,1900,36,202266,297,2020-01-18T14:00:01Z,4,0.981404958677686,52,7,2.75
Donaghy Can't Read Kenneth At Poker - 30 Rock,30 Rock Official,04:13,9284,211,1077390,375,2019-10-31T16:45:00Z,5,0.9777777777777777,56,7,4.217
Seeing The World Through Kenneth and Tracy's Eyes - 30 Rock,30 Rock Official,01:57,3058,23,236291,126,2019-01-06T17:00:07Z,6,0.9925348912690685,70,7,1.95
"""I Lie To Myself"" - 30 Rock",30 Rock Official,01:44,26250,90,450591,1038,2017-12-11T17:00:05Z,7,0.9965831435079726,82,7,1.733
Tracy Tackles Gavin Volure | 30 Rock,30 Rock Official,03:31,122,0,6819,16,2021-07-16T15:00:02Z,8,1.0,90,7,3.517
Every D'fwan Moment - 30 Rock,30 Rock Official,08:55,10289,216,918992,683,2018-01-05T17:30:01Z,9,0.979438362684436,102,7,8.917
The Negotiation - 30 Rock,30 Rock Official,04:28,7500,114,719024,349,2020-04-02T16:00:31Z,10,0.9850275807722616,108,7,4.467
Liz Exposes Abby - 30 Rock,30 Rock Official,02:38,10805,292,1502943,761,2018-01-03T17:00:08Z,11,0.9736865819590881,118,7,2.633
Salma Hayek as The Black Widow - 30 Rock,30 Rock Official,05:55,3172,101,418529,232,2019-11-12T14:00:01Z,12,0.9691414604338527,128,7,5.917
Best of Jenna Maroney | 30 Rock,30 Rock Official,09:59,1223,12,74964,83,2021-05-25T16:30:07Z,13,0.9902834008097166,136,7,9.983
30 Rock - Best of Season 4,wwydotu,07:59,1520,70,327849,104,2011-01-29T06:15:15Z,14,0.9559748427672956,146,7,7.983
Jack vs Banks - 30 Rock,30 Rock Official,10:01,6404,188,1029496,450,2017-11-24T17:30:00Z,0,0.9714805825242718,2,8,10.017
Will Arnett and Jason Bateman's Perpetually Aggressive Bromance,indyhatesnakes,17:06,1881,34,161705,89,2020-07-19T15:05:40Z,1,0.9822454308093995,15,8,17.1
All the Oscar Winners and Nominees - 30 Rock,30 Rock Official,05:43,1713,47,155293,118,2020-02-06T14:00:08Z,0,0.9732954545454545,6,9,5.717
SNL on 30 Rock,30 Rock Official,03:31,1511,35,139015,118,2020-01-25T03:06:05Z,1,0.9773609314359638,12,9,3.517
Julia Louis-Dreyfus Steals Tina Fey’s Emmy | Late Night with Conan O’Brien,Team Coco,06:44,21986,350,1475788,1761,2020-04-16T18:45:01Z,2,0.984330229226361,25,9,6.733
Jack Plays Colonizers of Malaar - 30 Rock,30 Rock Official,03:09,3548,76,407704,183,2019-10-15T13:00:10Z,3,0.9790286975717439,32,9,3.15
30 Rock: The Best of Liz Lemon,Kim,09:47,5651,171,1132725,697,2008-08-15T14:08:26Z,4,0.9706286499484713,50,9,9.783
30 Rock - Doctor's Diagnosis (Episode Highlight),30 Rock Official,01:53,638,6,72020,22,2017-10-19T06:58:41Z,5,0.9906832298136646,55,9,1.883
Salma Hayek as The Black Widow - 30 Rock,30 Rock Official,05:55,3172,101,418529,232,2019-11-12T14:00:01Z,6,0.9691414604338527,70,9,5.917
Donaghy Can't Read Kenneth At Poker - 30 Rock,30 Rock Official,04:13,9284,211,1077390,375,2019-10-31T16:45:00Z,7,0.9777777777777777,76,9,4.217
Every Appearance Of Conan (Best Of Conan O’Brien) - 30 Rock,30 Rock Official,05:38,16061,446,1755712,852,2018-05-04T16:00:03Z,8,0.9729811595080875,86,9,5.633
All the Oscar Winners and Nominees - 30 Rock,30 Rock Official,05:43,1713,47,155293,118,2020-02-06T14:00:08Z,9,0.9732954545454545,97,9,5.717
Operation Righteous Cowboy Lightning | 30 Rock,30 Rock Official,04:52,1418,15,91951,80,2020-09-10T14:21:08Z,10,0.9895324494068388,106,9,4.867
Every D'fwan Moment - 30 Rock,30 Rock Official,08:55,10289,216,918995,683,2018-01-05T17:30:01Z,11,0.979438362684436,120,9,8.917
Jack And Keneth Try To Erase An Embarrassing Drunk Phone Message After New Year's Eve | 30 Rock,30 Rock Official,05:47,704,8,51981,56,2020-12-30T15:00:10Z,12,0.9887640449438202,126,9,5.783
Operation Righteous Cowboy Lightning | 30 Rock,30 Rock Official,04:52,1418,15,91951,80,2020-09-10T14:21:08Z,13,0.9895324494068388,134,9,4.867
"30 Rock - Therapy, Jack Style (Episode Highlight)",30 Rock Official,02:38,2330,28,158932,186,2017-07-12T17:00:01Z,14,0.9881255301102629,150,9,2.633
Drunk Jack - 30 Rock,30 Rock Official,03:15,1483,24,198479,84,2018-04-01T16:00:05Z,15,0.9840743198407432,155,9,3.25
30 Rock: Some Funny Clips,asilvermountzion1983,07:00,1388,87,298639,72,2009-09-19T01:53:40Z,16,0.9410169491525424,168,9,7.0
Best Of: Good GOD! | 30 Rock,30 Rock Official,09:16,748,13,57361,36,2021-05-18T16:30:08Z,0,0.9829172141918529,8,10,9.267
Jack Donaghy's Life Lessons | 30 Rock,30 Rock Official,08:23,779,8,62103,55,2021-06-15T16:30:05Z,1,0.9898348157560356,11,10,8.383
The Bubble - 30 Rock,30 Rock Official,05:21,1833,28,163721,148,2020-07-16T16:00:09Z,2,0.984954325631381,26,10,5.35
EVEN MORE Cold Opens - Parks and Recreation,Parks and Recreation,10:03,11471,292,1063292,556,2019-02-27T17:00:09Z,3,0.9751764005780839,32,10,10.05
Liz and Criss' Gay Porno Roleplay - 30 Rock,30 Rock Official,02:18,3244,63,313456,117,2018-01-14T17:00:07Z,4,0.9809495010583611,43,10,2.3
Liz Lemon Dates Her Cousin - 30 Rock,30 Rock Official,02:45,1900,36,202266,297,2020-01-18T14:00:01Z,5,0.981404958677686,53,10,2.75
The Negotiation - 30 Rock,30 Rock Official,04:28,7500,114,719024,349,2020-04-02T16:00:31Z,6,0.9850275807722616,63,10,4.467
Donaghy Can't Read Kenneth At Poker - 30 Rock,30 Rock Official,04:13,9284,211,1077391,375,2019-10-31T16:45:00Z,7,0.9777777777777777,71,10,4.217
Kenneth’s Party - 30 Rock,30 Rock Official,02:40,4182,53,440445,158,2018-06-20T16:00:03Z,8,0.9874852420306965,88,10,2.667
Tracy's Boat Party - 30 Rock,30 Rock Official,04:35,1134,16,148537,66,2017-09-05T17:00:03Z,9,0.9860869565217392,94,10,4.583
The Best of Cerie Xerox - 30 Rock,30 Rock Official,02:37,4071,78,538939,251,2020-01-16T14:00:04Z,10,0.9812002892263196,105,10,2.617
Liz Exposes Abby - 30 Rock,30 Rock Official,02:38,10805,292,1502944,761,2018-01-03T17:00:08Z,11,0.9736865819590881,115,10,2.633
I'm A Very Sexy Baby - 30 Rock,30 Rock Official,02:10,6753,312,1521673,418,2018-01-07T17:00:03Z,12,0.9558386411889597,125,10,2.167
The New Writer Makes A Big Impression - 30 Rock,30 Rock Official,02:52,15208,763,2684097,908,2017-10-25T16:30:00Z,13,0.9522259094608979,130,10,2.867
Every Appearance Of Conan (Best Of Conan O’Brien) - 30 Rock,30 Rock Official,05:38,16061,446,1755712,852,2018-05-04T16:00:03Z,14,0.9729811595080875,141,10,5.633
Conan Emmy Intro,zonerlite,06:59,37506,476,2994492,1747,2006-08-28T01:51:44Z,15,0.987467747880575,150,10,6.983
Best Of Jack Donaghy VS Kaylie Hooper (ft. Chloe Grace Moretz) | 30 Rock,30 Rock Official,10:00,1230,30,111346,119,2021-06-02T16:30:02Z,0,0.9761904761904762,9,11,10.0
Liz Lemon's Boyfriends - 30 Rock,30 Rock Official,10:03,6648,185,1031530,464,2017-12-29T17:00:05Z,1,0.9729255085613933,15,11,10.05
The Negotiation - 30 Rock,30 Rock Official,04:28,7500,114,719026,349,2020-04-02T16:00:31Z,2,0.9850275807722616,31,11,4.467
Liz Lemon Was A BULLY! | Liz Lemon Was A MEAN Girl In High School | 30 Rock,30 Rock Official,05:17,5917,95,542076,533,2020-11-26T14:00:05Z,3,0.9841982701264138,40,11,5.283
Going To The Church on Valentine's Day In Exchange For Sex | 30 Rock,30 Rock Official,04:30,372,3,23221,30,2021-02-12T16:00:09Z,4,0.992,51,11,4.5
Kenneth’s Party - 30 Rock,30 Rock Official,02:40,4182,53,440445,158,2018-06-20T16:00:03Z,5,0.9874852420306965,59,11,2.667
The Best of Cerie Xerox - 30 Rock,30 Rock Official,02:37,4071,78,538939,251,2020-01-16T14:00:04Z,6,0.9812002892263196,68,11,2.617
The New Writer Makes A Big Impression - 30 Rock,30 Rock Official,02:52,15208,763,2684097,908,2017-10-25T16:30:00Z,7,0.9522259094608979,80,11,2.867
Liz's Moustache - 30 Rock,30 Rock Official,05:11,1501,32,142085,0,2020-06-25T16:00:05Z,8,0.9791258969341161,92,11,5.183
Dealbreaker! - 30 Rock,30 Rock Official,02:01,1630,30,125980,157,2020-05-07T16:00:04Z,9,0.9819277108433735,104,11,2.017
Liz Lemon's Dealbreakers Book - 30 Rock,30 Rock Official,03:21,2014,53,244272,145,2019-11-26T14:00:03Z,10,0.9743589743589743,108,11,3.35
"Jenna ""Yokos"" a Band - 30 Rock",30 Rock Official,05:29,1381,42,168234,150,2020-04-21T13:00:07Z,11,0.9704848910751932,125,11,5.483
The Best of Cerie Xerox - 30 Rock,30 Rock Official,02:37,4071,78,538939,251,2020-01-16T14:00:04Z,12,0.9812002892263196,131,11,2.617
Best Of Dr. Harris - Parks and Recreation,Parks and Recreation,10:08,14825,253,1248823,451,2019-08-28T15:45:00Z,13,0.9832205862846531,141,11,10.133
All the Oscar Winners and Nominees - 30 Rock,30 Rock Official,05:43,1713,47,155295,118,2020-02-06T14:00:08Z,0,0.9732954545454545,6,12,5.717
Best of Hazel Wassername | 30 Rock,30 Rock Official,10:06,585,16,50926,89,2021-06-08T16:30:01Z,1,0.9733777038269551,20,12,10.1
The Rural Juror - 30 Rock,30 Rock Official,02:47,2957,56,349881,126,2019-08-31T13:00:00Z,2,0.9814138732160638,27,12,2.783
The Negotiation - 30 Rock,30 Rock Official,04:28,7500,114,719026,349,2020-04-02T16:00:31Z,3,0.9850275807722616,35,12,4.467
"30 Rock - Therapy, Jack Style (Episode Highlight)",30 Rock Official,02:38,2330,28,158932,186,2017-07-12T17:00:01Z,4,0.9881255301102629,50,12,2.633
The Best of Cerie Xerox - 30 Rock,30 Rock Official,02:37,4071,78,538939,251,2020-01-16T14:00:04Z,5,0.9812002892263196,56,12,2.617
Guest Stars | Parks and Recreation | Comedy Bites,Comedy Bites,10:02,6866,155,520032,424,2019-11-12T20:00:02Z,6,0.977923372738926,65,12,10.033
Donaghy Can't Read Kenneth At Poker - 30 Rock,30 Rock Official,04:13,9284,211,1077391,375,2019-10-31T16:45:00Z,0,0.9777777777777777,3,13,4.217
Jack vs Banks - 30 Rock,30 Rock Official,10:01,6404,188,1029496,450,2017-11-24T17:30:00Z,1,0.9714805825242718,18,13,10.017
Jack Plays Colonizers of Malaar - 30 Rock,30 Rock Official,03:09,3548,76,407706,183,2019-10-15T13:00:10Z,2,0.9790286975717439,30,13,3.15
Conan Interviews His Assistant Sona Movsesian | CONAN on TBS,Team Coco,07:58,133442,1878,6893993,6976,2019-07-12T03:47:09Z,3,0.9861217853975761,39,13,7.967
Jack Dates Crazy Claire - 30 Rock,30 Rock Official,03:24,3287,64,577452,258,2019-09-14T13:00:04Z,4,0.9809012235153686,48,13,3.4
Liz Lemon's Perfect Jeans - 30 Rock,30 Rock Official,03:28,2218,41,199679,124,2020-07-28T13:00:14Z,5,0.981850376272687,56,13,3.467
Seinfeld Feels Insulted by Liz | Tina Fey Imitates Jerry Seinfeld | Relationship Advice | 30 Rock,30 Rock Official,05:18,5277,140,447931,322,2020-10-09T15:00:01Z,6,0.9741554365885177,63,13,5.3
Donaghy Can't Read Kenneth At Poker - 30 Rock,30 Rock Official,04:13,9284,211,1077391,375,2019-10-31T16:45:00Z,0,0.9777777777777777,10,14,4.217
Seeing The World Through Kenneth and Tracy's Eyes - 30 Rock,30 Rock Official,01:57,3058,23,236291,126,2019-01-06T17:00:07Z,1,0.9925348912690685,21,14,1.95
Behind the scenes with the muppets on 30 Rock,joycewebster8,03:11,697,10,144889,43,2009-10-04T09:35:31Z,2,0.9858557284299858,29,14,3.183
Jack vs Banks - 30 Rock,30 Rock Official,10:01,6404,188,1029496,450,2017-11-24T17:30:00Z,0,0.9714805825242718,2,15,10.017
Liz Lemon's Boyfriends - 30 Rock,30 Rock Official,10:03,6648,185,1031530,464,2017-12-29T17:00:05Z,1,0.9729255085613933,12,15,10.05
30 Rock: The Best of Liz Lemon,Kim,09:47,5651,171,1132725,697,2008-08-15T14:08:26Z,2,0.9706286499484713,22,15,9.783
Seinfeld Feels Insulted by Liz | Tina Fey Imitates Jerry Seinfeld | Relationship Advice | 30 Rock,30 Rock Official,05:18,5277,140,447931,322,2020-10-09T15:00:01Z,0,0.9741554365885177,3,16,5.3
Salma Hayek as The Black Widow - 30 Rock,30 Rock Official,05:55,3172,101,418530,232,2019-11-12T14:00:01Z,1,0.9691414604338527,17,16,5.917
Negotiating with Jack Donaghy,Michael H,05:01,4750,125,812313,333,2012-03-20T09:53:27Z,2,0.9743589743589743,24,16,5.017
Best Of: Good GOD! | 30 Rock,30 Rock Official,09:16,748,13,57361,36,2021-05-18T16:30:08Z,0,0.9829172141918529,9,17,9.267
Every Appearance Of Conan (Best Of Conan O’Brien) - 30 Rock,30 Rock Official,05:38,16061,446,1755715,852,2018-05-04T16:00:03Z,1,0.9729811595080875,16,17,5.633
Conan Arrives In Finland | Late Night with Conan O’Brien,Team Coco,13:40,44427,703,2918859,2701,2019-06-17T14:29:55Z,2,0.9844227786394859,25,17,13.667
Best of Arrested Development,Virginia L,17:17,15357,310,1062020,1107,2020-04-06T06:01:49Z,0,0.980213186953469,7,18,17.283
Liz Lemon's Boyfriends - 30 Rock,30 Rock Official,10:03,6648,185,1031530,464,2017-12-29T17:00:05Z,0,0.9729255085613933,1,19,10.05
Seinfeld Feels Insulted by Liz | Tina Fey Imitates Jerry Seinfeld | Relationship Advice | 30 Rock,30 Rock Official,05:18,5277,140,447931,322,2020-10-09T15:00:01Z,1,0.9741554365885177,15,19,5.3
Salma Hayek as The Black Widow - 30 Rock,30 Rock Official,05:55,3172,101,418530,232,2019-11-12T14:00:01Z,2,0.9691414604338527,30,19,5.917
Liz Lemon Was A BULLY! | Liz Lemon Was A MEAN Girl In High School | 30 Rock,30 Rock Official,05:17,5917,95,542076,533,2020-11-26T14:00:05Z,3,0.9841982701264138,40,19,5.283
Dr. Beaman's Office: Test Results - SNL,Saturday Night Live,06:51,34675,1939,5124123,1196,2013-09-12T23:23:08Z,0,0.9470421150379636,9,20,6.85
Every Appearance Of Conan (Best Of Conan O’Brien) - 30 Rock,30 Rock Official,05:38,16061,446,1755715,852,2018-05-04T16:00:03Z,0,0.9729811595080875,6,21,5.633
Contagious Laughter: Conan O'Brien Edition,Anthons,15:02,12086,182,814275,509,2020-01-31T23:56:35Z,1,0.9851646560156505,18,21,15.033
Seinfeld Feels Insulted by Liz | Tina Fey Imitates Jerry Seinfeld | Relationship Advice | 30 Rock,30 Rock Official,05:18,5277,140,447931,322,2020-10-09T15:00:01Z,0,0.9741554365885177,3,22,5.3
Liz Lemon Was A BULLY! | Liz Lemon Was A MEAN Girl In High School | 30 Rock,30 Rock Official,05:17,5917,95,542076,533,2020-11-26T14:00:05Z,1,0.9841982701264138,21,22,5.283
Kenneth’s Party - 30 Rock,30 Rock Official,02:40,4182,53,440445,158,2018-06-20T16:00:03Z,2,0.9874852420306965,29,22,2.667
Donaghy Can't Read Kenneth At Poker - 30 Rock,30 Rock Official,04:13,9284,211,1077391,375,2019-10-31T16:45:00Z,3,0.9777777777777777,33,22,4.217
Liz Lemon Was A BULLY! | Liz Lemon Was A MEAN Girl In High School | 30 Rock,30 Rock Official,05:17,5917,95,542076,533,2020-11-26T14:00:05Z,4,0.9841982701264138,51,22,5.283
The Funcooker - 30 Rock,30 Rock Official,02:46,2880,39,347500,134,2017-12-13T17:00:02Z,5,0.986639260020555,62,22,2.767
The Best of Cerie Xerox - 30 Rock,30 Rock Official,02:37,4071,78,538939,251,2020-01-16T14:00:04Z,6,0.9812002892263196,70,22,2.617
Salma Hayek as The Black Widow - 30 Rock,30 Rock Official,05:55,3172,101,418530,232,2019-11-12T14:00:01Z,7,0.9691414604338527,79,22,5.917
The Addiction - 30 Rock,30 Rock Official,02:29,6452,242,1238237,381,2018-08-15T16:00:05Z,8,0.9638482222886167,90,22,2.483
Liz Lemon's Perfect Jeans - 30 Rock,30 Rock Official,03:28,2218,41,199680,124,2020-07-28T13:00:14Z,9,0.981850376272687,102,22,3.467
Liz Exposes Abby - 30 Rock,30 Rock Official,02:38,10805,292,1502944,761,2018-01-03T17:00:08Z,10,0.9736865819590881,109,22,2.633
